Número ,Entidad ,Distrito Convenio Asignación por INE/CG193/2021 ,,
164,QUINTANA ROO ,4,PRD ,PRD 
165,SAN LUIS POTOSI ,1,PRI ,PRI 
166,SAN LUIS POTOSI ,2,PRD ,PRI 
167,SAN LUIS POTOSI ,3,PRI ,PRI 
168,SAN LUIS POTOSI ,4,PRD ,PRD 
169,SAN LUIS POTOSI ,5,PAN ,PAN 
170,SAN LUIS POTOSI ,6,PAN ,PAN 
171,SAN LUIS POTOSI ,7,PAN ,PAN 
172,SINALOA ,1,PAN ,PAN 
173,SINALOA ,2,PAN ,PAN 
174,SINALOA ,3,PRI ,PRI 
175,SINALOA ,4,PRI ,PRI 
176,SINALOA ,5,PRI ,PRI 
177,SINALOA ,6,PRD ,PRI 
178,SINALOA ,7,PRI ,PRI 
179,SONORA ,1,PAN ,PAN 
180,SONORA ,2,PAN ,PAN 
181,SONORA ,3,PAN ,PAN 
182,SONORA ,4,PRD ,PRD 
183,SONORA ,5,PRI ,PRI 
184,SONORA ,6,PRI ,PRI 
185,SONORA ,7,PRI ,PRI 
186,TABASCO ,1,PRI ,PRI 
187,TABASCO ,2,PRD ,PRD 
188,TABASCO ,3,PRD ,PRD 
189,TABASCO ,4,PRD ,PRD 
190,TABASCO ,5,PRD ,PRD 
191,TABASCO ,6,PAN ,PAN 
,,Coalición VXM ,,
Número ,Entidad ,Distrito Convenio Asignación por INE/CG193/2021 ,,
192,TLAXCALA ,1,PAN ,PAN 
193,TLAXCALA ,2,PRD ,PRD 
194,TLAXCALA ,3,PRI ,PRI 
195,VERACRUZ ,1,PAN ,PRI 
196,VERACRUZ ,2,PAN ,PAN 
197,VERACRUZ ,3,PAN ,PAN 
198,VERACRUZ ,4,PAN ,PAN 
199,VERACRUZ ,5,PRD ,PRD 
200,VERACRUZ ,6,PRD ,PRD 
201,VERACRUZ ,7,PAN ,PAN 
202,VERACRUZ ,8,PRI ,PRI 
203,VERACRUZ ,9,PRI ,PRI 
204,VERACRUZ ,10,PRI ,PRI 
205,VERACRUZ ,11,PRI ,PRI 
206,VERACRUZ ,12,PAN ,PAN 
207,VERACRUZ ,13,PAN ,PAN 
208,VERACRUZ ,14,PRD ,PRD 
209,VERACRUZ ,15,PRI ,PRI 
210,VERACRUZ ,16,PRI ,PRI 
211,VERACRUZ ,17,PAN ,PAN 
212,VERACRUZ ,18,PRD ,PRD 
213,VERACRUZ ,19,PRD ,PRD 
214,VERACRUZ ,20,PRD ,PRD 
215,ZACATECAS ,1,PRI ,PRI 
216,ZACATECAS ,2,PAN ,PAN 
217,ZACATECAS ,3,PRI ,PRI 
218,ZACATECAS ,4,PRD ,PRI 
