Número ,Entidad ,Distrito Convenio Asignación por INE/CG193/2021 ,,
63,JALISCO ,6,PVEM ,PVEM 
64,JALISCO ,7,MORENA ,MORENA 
65,JALISCO ,8,PVEM ,PVEM 
66,JALISCO ,9,PVEM ,PVEM 
67,JALISCO ,10,MORENA ,MORENA 
68,JALISCO ,11,MORENA ,MORENA 
69,JALISCO ,12,MORENA ,MORENA 
70,JALISCO ,13,MORENA ,MORENA 
,,,,
,,Coalición JHH ,,
Número ,Entidad ,Distrito Convenio Asignación por INE/CG193/2021 ,,
71,JALISCO ,14,PVEM ,PVEM 
72,JALISCO ,15,MORENA ,MORENA 
73,JALISCO ,16,MORENA ,MORENA 
74,JALISCO ,17,PVEM ,PVEM 
75,JALISCO ,18,MORENA ,MORENA 
76,JALISCO ,19,MORENA ,MORENA 
77,JALISCO ,20,PT ,PT 
78,MEXICO ,1,PVEM ,PVEM 
79,MEXICO ,2,PT ,PT 
80,MEXICO ,3,PT ,PT 
81,MEXICO ,4,MORENA ,MORENA 
82,MEXICO ,5,PT ,PT 
83,MEXICO ,6,PVEM ,PVEM 
84,MEXICO ,12,MORENA ,PVEM 
85,MEXICO ,14,PT ,PT 
86,MEXICO ,15,PT ,PT 
87,MEXICO ,16,PT ,PT 
88,MEXICO ,24,MORENA ,MORENA 
89,MEXICO ,26,PVEM ,PVEM 
90,MEXICO ,27,PT ,PT 
91,MEXICO ,30,MORENA ,MORENA 
92,MEXICO ,32,PT ,PT 
93,MEXICO ,34,MORENA ,MORENA 
94,MEXICO ,35,MORENA ,MORENA 
95,MEXICO ,39,PT ,PT 
96,MEXICO ,41,PVEM ,PVEM 
97,MICHOACAN ,3,PT ,PT 
98,MICHOACAN ,12,PT ,PT 
99,MORELOS ,2,MORENA ,MORENA 
100,MORELOS ,4,MORENA ,MORENA 
101,NAYARIT ,1,MORENA ,MORENA 
102,NAYARIT ,2,PVEM ,PVEM 
103,NAYARIT ,3,PT ,PT 
104,NUEVO LEON ,2,MORENA ,MORENA 
105,NUEVO LEON ,3,PT ,PT 
106,NUEVO LEON ,5,PT ,PT 
107,NUEVO LEON ,7,PVEM ,PVEM 
108,NUEVO LEON ,8,PVEM ,PVEM 
109,NUEVO LEON ,10,PVEM ,PVEM 
110,NUEVO LEON ,11,PT ,PT 
111,NUEVO LEON ,12,MORENA ,MORENA 
112,OAXACA ,1,MORENA ,MORENA 
113,OAXACA ,3,PT ,PT 
114,OAXACA ,4,MORENA ,MORENA 
115,OAXACA ,5,MORENA ,MORENA 
116,OAXACA ,7,PVEM ,PVEM 
117,OAXACA ,8,PT ,PT 
118,OAXACA ,9,MORENA ,MORENA 
119,PUEBLA ,1,PVEM ,PVEM 
120,PUEBLA ,2,PVEM ,PVEM 
121,PUEBLA ,3,PT ,PT 
,,,,
,,,Coalición JHH ,
Número ,Entidad ,Distrito Convenio Asignación por INE/CG193/2021 ,,
122,PUEBLA ,4,MORENA ,MORENA 
123,PUEBLA ,5,PT ,PT 
124,PUEBLA ,6,MORENA ,MORENA 
125,PUEBLA ,7,MORENA ,PT 
126,PUEBLA ,8,MORENA ,MORENA 
127,PUEBLA ,9,PVEM ,PVEM 
128,PUEBLA ,10,MORENA ,MORENA 
129,PUEBLA ,11,MORENA ,MORENA 
130,PUEBLA ,12,MORENA ,MORENA 
131,PUEBLA ,13,MORENA ,MORENA 
132,PUEBLA ,14,PT ,PT 
133,PUEBLA ,15,PT ,PT 
134,QUERETARO ,2,MORENA ,MORENA 
135,QUERETARO ,3,MORENA ,MORENA 
136,QUINTANA ROO ,1,PVEM ,PVEM 
137,QUINTANA ROO ,2,MORENA ,MORENA 
138,QUINTANA ROO ,3,MORENA ,MORENA 
139,QUINTANA ROO ,4,PVEM ,PVEM 
140,SAN LUIS POTOSI ,1,PVEM ,PVEM 
141,SAN LUIS POTOSI ,3,PVEM ,PVEM 
142,SAN LUIS POTOSI ,4,MORENA ,MORENA 
143,SAN LUIS POTOSI ,5,PVEM ,PVEM 
144,SAN LUIS POTOSI ,6,PVEM ,PVEM 
145,SAN LUIS POTOSI ,7,PVEM ,PVEM 
146,SINALOA ,1,PT ,PT 
147,SINALOA ,2,MORENA ,MORENA 
148,SINALOA ,3,PT ,PT 
149,SINALOA ,5,MORENA ,MORENA 
150,SINALOA ,7,MORENA ,MORENA 
151,SONORA ,2,PT ,PT 
152,SONORA ,3,MORENA ,MORENA 
153,SONORA ,5,MORENA ,MORENA 
154,SONORA ,7,PT ,PT 
155,TAMAULIPAS ,1,PVEM ,PVEM 
156,TAMAULIPAS ,2,PT ,PT 
157,TAMAULIPAS ,3,PVEM ,PVEM 
158,TAMAULIPAS ,4,MORENA ,MORENA 
159,TAMAULIPAS ,5,PVEM ,PVEM 
160,TAMAULIPAS ,7,MORENA ,MORENA 
161,TAMAULIPAS ,8,MORENA ,MORENA 
162,TAMAULIPAS ,9,PT ,PT 
163,TLAXCALA ,1,PT ,PT 
164,TLAXCALA ,2,PT ,PT 
165,VERACRUZ ,1,PVEM ,PVEM 
166,VERACRUZ ,2,PVEM ,PVEM 
167,VERACRUZ ,3,MORENA ,MORENA 
168,VERACRUZ ,4,MORENA ,MORENA 
169,VERACRUZ ,5,MORENA ,MORENA 
170,VERACRUZ ,8,MORENA ,MORENA 
171,VERACRUZ ,12,PVEM ,PVEM 
172,VERACRUZ ,13,PVEM ,PVEM 
,,,Coalición JHH ,
Número ,,Entidad ,Distrito Convenio Asignación por INE/CG193/2021 ,
173,VERACRUZ ,14,MORENA ,MORENA 
174,VERACRUZ ,15,MORENA ,MORENA 
175,VERACRUZ ,16,MORENA ,MORENA 
176,VERACRUZ ,17,MORENA ,MORENA 
177,VERACRUZ ,18,PVEM ,PVEM 
178,VERACRUZ ,19,MORENA ,MORENA 
179,YUCATAN ,2,PVEM ,PVEM 
180,YUCATAN ,5,PVEM ,PVEM 
181,ZACATECAS ,1,MORENA ,MORENA 
182,ZACATECAS ,2,PVEM ,PVEM 
183,ZACATECAS ,3,PT ,PT 
